,id_str,screen_name,location
228,993043642804789248,andry23878716,
229,759687732,daretofail1,
230,59041341,Gracechappyman,Los Angeles 
231,993155436390989825,alaminabco,
232,308202743,GuitaristFuck,"Long Beach, CA"
233,2234162324,Takcsa5000,
234,993157249911611392,Kalibar2,
235,895714855910424576,Rotom_64,"Orono, ME"
236,2575746222,Gobi2016,I am wherever I am
237,2594936154,algo_pequenito1,"Воронеж, Воронежская область"
238,697903106416340992,FaDi13187,
239,993153768190627841,kapam6a88,Украина
240,969441831921508353,Ben42355806,
241,1035636176,Rozelleaboona1,
242,41451479,deathcabforgina,ud '18
243,1494049219,Gennaro_LS,South Africa
244,2939372904,aschingu,
245,4747698029,cctinsleystan,fear and misery
246,942960261601751040,Michelbkphuong,
247,443153600,EndaGormley15,
248,993156986043863040,leon_naser,
249,958743621234249728,jordan71902683,
250,4689527893,BlueCoder101,"London, England"
251,875695799367118848,Acro83046184,"Uttar Pradesh, India"
252,17391388,GKickHya,CA & Azeroth
253,993155725433102339,chad_rautraut,"Lucena City, Calabarzon"
254,322410308,k_AlHinti,Riyadh - Saudi Arabia 
255,854385665034690560,jenmanjenman,
256,993156727288741888,EltonAthena,
257,993157041316392961,Mwangim85729349,
258,993157159985729536,ElliotCook11,
259,3020261245,FlokiTanguay,"Bainbridge Island, WA"
260,993154981426597889,blandine_mwika,
261,203395550,alandesantis2,"Oxford, MS"
262,993157091010297856,Jcanhvu2,
263,2742704820,yungadolfo,
264,2207139849,kezzie_leok,africa
265,835362980682424320,SwagDog_,
266,2947695041,backseatbenji,30
267,913725042990530560,Iamtharageorge,
268,993157035637297154,DaBQRgjwlbZvteB,
269,599388390,JohnPaulSchreib,
270,993156889302085632,KjszSe,
271,466370018,chirrutimwe,"seattle, washington"
272,971530580230922241,nathan73695602,
273,9093702,AhmedMahdy,"Cairo, Egypt"
274,513467657,sara_lately,"Muskegon, Michigan"
275,1225992884,KJBoddison,
276,993156714538131456,EranciaEtienne,
277,87054982,jgibson_77,
278,993156841231314944,bzmfvZ7UjrieaEX,ישראל
279,352915892,AleksiAirinen,
280,993156045206970374,Saezcamila4,
281,737692702230335488,mutigers123,
282,993156315810881536,Adamosm93669605,
283,3128978184,HalbrookJosh,
284,2451447518,pejantansayang,
285,2714356656,Abhiprax,
286,993156683999346688,SMyandu,
287,148033332,e_ddddd,
288,2358034278,ErdghBotond,"Budapest, Magyarország"
289,993154374837919744,krista311bc,
290,1903803414,YungZ99,"Texas, USA"
291,372517708,mimi_mbugua,
292,993156324115533826,hamay_bm,
293,2994799300,NonameedSC2,
294,26346154,srinivasvemu,"Naperville, IL"
295,3277957238,EliBeMyName,"Toronto, Ontario"
296,928983299178950657,6mTECRQhWMxxSNi,대한민국 대구
297,1033713703,ENZO_XCVI,Italia
298,993156467934089216,FabioObermoser,
299,984087765368401920,sten40327056,"Orsa, Sverige"
300,714937603003252736,Di3goGM,
301,937078944448335872,marnamonky23,
302,2398420614,david_sordia,
303,2856097537,TheLeviMathis,
304,3373143804,reneeechebbo,Lebanon 
305,993155387015680000,grand10mhds,
306,993156217647321088,MujeebAgham,"لاڑکانہ, پاکستان"
307,3326068587,toastiebees,
308,631654426,EvanBorzotra,
309,1953942066,anandsinghal07,pune 
310,2782539539,Benscholefield1,
311,2703653628,Gaby3344Gaby,
312,329914967,wambotl,"Villers-le-Bouillet, Belgique"
313,294697766,EdgarAlexTello,Morelia
314,856861395652149249,Minamechef,"Fucking, Austria"
315,993156227382247425,Abigail69600927,
316,538232945,rickpaivafoto,"Goiânia, Brasil"
317,409738416,jfurness21,"Lancaster, OH"
318,306628106,anavrivasr,
319,841298868738301953,m_arevalo10,
320,1467850789,KaareEnevoldsen,København
321,923121225861357568,Allow2_1,France
322,993155396964515840,kdwbht,
323,993156603430891521,AdrianCatigay,
324,993156317744332800,mgrondin97441,"Sainte-Suzanne, La Réunion"
325,773387759306375168,madhukar00001,Bangalore 
326,2252525410,_Raabe_MT,"Towson, MD"
327,935243051773120512,notwillum,oof
328,93704579,Tessmoss,Wales !!
329,4623638592,j_agi_,CA
330,923879455382159360,Tuongvinh4,"Hồ Chí Minh, Việt Nam"
331,543805045,solution4_u,
332,777645262374305792,UrasGungorReal,
333,993156263331545088,Ahmunna50752655,
334,1896962040,KashifNoor15,
335,993155513973063681,SaiKris70673773,
336,2608955281,SophiaCath,
337,993156797979660288,dddd38544537,
338,4068210253,alcoholallstars,Malaysia
339,1193279557,wasimhannure,"Pune, India"
340,1635666998,burcuumasat,Samsun
341,789115455055228928,MatteusPlays,Estonia
342,993155898624413696,Papesy43597550,
343,759478267,MachiaveIIi,
344,4902962057,Cuttingedgey,
345,1380266994,lizzyawhiteside,Here and There
346,725864194759876609,Dead_End_Zombie,
347,372044128,willsaunderssss,
348,993156445553287168,FrsPhilippon1,
349,16691695,Depressionista,"Hamburg, NJ"
350,2965159744,Kalikami,"Sherbrooke, Québec"
351,301776025,BigHomieZach,"Houston, TX"
352,992854210638106624,MuziLi84753349,"Hamilton, Ontario"
353,136635077,802kate,
354,203493199,Asif_Dash,"Ooty, india"
355,903233551566561282,graciekswanson,"Kansas City, KS"
356,458886350,Patrick_WRiley,"La Grange, NC"
357,953972516782997504,Derek_Amoako,"London, England"
358,3069214101,urbanblankets,
359,715981448180801536,LilCryptonius,
360,3335492652,theAblaMard,"Bengaluru, Karnataka"
361,984305277452234753,Kaushik36307531,
362,538940804,georgeclair_,
363,1507747646,tori_whiting,Florida
364,743880001766862848,madisonnnkk,
365,232739724,harryoliver96,England/Faytown Ar
366,944500773068648448,Vici1986,Poznań
367,3188911319,Wiinqz,"Toronto, Ontario"
368,1915710576,JustArny,
369,228437635,dkollardc,
370,434359632,buyandsellwirel,
371,228073029,pbhageria,Mumbai
372,993153005565415424,gzunqacdrt1334,
373,3296878376,Epiithymia,
374,1171479608,AdiGio91,Chicago
375,3316295432,JDP1119,
376,993152737641615360,iwqnwbys150fif1,
377,974612734380683265,Coloursbystorm,
378,764099195938574337,Kirov04,
379,24300412,Ambi217m,"Miami, FL"
380,992232041226776577,KeshavJ61886446,"Kanpur, India"
381,2299117007,petterhelsen,
382,2434397317,Jian413,"Princeton, NJ"
383,53755215,JoJoDiff,
384,933488055754792961,Henry93323424,Etats-Unis
385,993156146109153280,jywfxp,
386,206237513,jmullica85,Denver
387,3077053770,Whillyum,University of Kansas
388,946524833474629632,SpecialtyShow,🤡🌎
389,993155950394552320,cabacas_mark,
390,993156114651975681,CSny234,
391,954204151713550338,lasagna__Girl,
392,528773052,azizacisli,
393,36719651,brad_colbert,"Austin, TX"
394,251973522,_Mr_Kumar_,
395,2853761431,andysev12,
396,847400143,leonardobouzon,
397,2172668776,AMortezaei,
398,3158073060,swellestshark,
399,748082002746814464,D0loressK4ze,"Brooklyn, NY"
400,2523587256,NorskogJeff,
401,923953315444150272,Kidzbop_offical,"Michigan, USA"
402,2750972242,kikimihok,
403,2558651519,KeisuMarcus,
404,993155785147539461,Harissh98000368,Mansehra
405,993154565976535041,BroTokenge,
406,224694202,gauravkrajput,"Pittsburgh, PA"
407,986772971254681600,desanti_paul,"Muskegon, MI"
408,254183409,erok_the_red,
409,993155785998807041,Francis49788130,
410,944905231602724869,Hippopit1,
411,772157680177799168,Aldroucho,
412,292143213,LucasBarrere,"Marseille, France"
413,990912761029947393,cmackenzie0403,
414,853335730084605953,ColinC__,
415,880909452,hazel_benton,
416,1671440714,SaintNicolas80,"Aubenas, FR"
417,4095118153,KelloughsCereal,
418,702530584703320064,Dafydd_Jones_,North Korea
419,1534296894,joefish505,"Marion, IA"
420,2914063386,jake_rowe_,
421,241546248,AlpereeenT,
422,984418562335956992,china_b_trend,香港
423,993155742625619968,httpsww49317893,
424,979465387195748352,Tom80207791,
425,2938546223,esdief,İzmir
426,4907958935,bellafaith12,
427,993155248683474944,SercanBier6,
428,993155885680623616,G3G5JqJ5nxLlvWx,
429,3270564356,AroundKids,
430,829159736599728129,AndreaNuo5,
431,993155441671667713,Ahmedad06771532,
432,988818379715817472,ilknurnotfound,
433,376582852,anesnymous,bandung
434,890860387628961792,ElonHara,"Curitiba, Brasil"
435,993154079860903936,Chalpy3,
436,915089055171338240,SaswataHere,"Hyderabad, India"
437,291230762,paps3333,"Brent, London"
438,964729959313911813,Neelkanth_Coder,Punjab India
439,40766990,thegeminiguy,"Ontario, Canada"
440,992851562966941696,imogens10996522,United kingdom
441,813968222470840324,Riddlr121,USA
442,2922419400,xtmjustin,"San Antonio, TX"
443,980252563395104768,BellonAlfonso,
444,1702895588,ju47inmckinney,KCMO // Maryville
445,301840007,callahan_james,
446,432922750,JamesAlcock,"Stone, England"
447,365670296,TehKittehsMeow,
448,382926872,tkchapman,"Kinross, MI"
449,992816810486616064,spheh40173754,
450,981520145825828864,GcOniE61ZrE2Usu,
451,993155518813360129,JuanPedroAlarc7,
452,2477370176,PastorelliGia,2/14/05
453,993155618310672389,skayman9,
454,993155271789707265,Lin20724774,
455,993156124835627008,rio54121190,
456,923815151693959168,emmalovescoffee,
457,927148812,pratikkalwaghe,
458,993155675088998400,Giovann09641973,
459,206313199,semperdux,
460,206313199,semperdux,
461,298322561,sammianderson5,
462,3269594444,GauravS371,
463,2758390997,iamstarlord1,
464,993155730608939008,princetendai6,
465,975086415368409088,ZachCampbellO1,"Michigan, USA"
466,1427699610,BriscoeFletch18,Anywhere but here 
467,1294141,MZR,
468,51687050,Kyne21,
469,498748918,jessicaaliceox,
470,3294271274,oolices,
471,993155571552579585,danniblaa,
472,993154788450648064,real_Jenna_mao,beijing
473,993155707057917952,Mehmetmayuk7,
474,799794903677014016,maddieerceg,thottieville
475,2178393902,jamesrowan2000,
476,866914371938791424,LizanahWest,
477,3012761509,ZektekGaming_XD,Limbo
478,89216515,giannib1986,Arezzo
479,993154206575054849,HxO43mrhNrFq4iH,
480,40430886,Munlyfoo,
481,3927002900,Abecrusher,somewhere
482,969401906266288133,alina_ambroziak,"New York, NY"
483,798948666816004100,Tree_Man_Jack,"York, England"
484,828538503009095682,WishfulPuma,"Саратов, Россия"
485,937950650314375173,banki_pati,"Vizianagaram, India"
486,897314338402426884,jocelyn_trinity,sleeping
487,1624773464,ohno_463,Mars
488,812831638333878272,MW21V1ONRUST,"Ohio, USA"
489,860898895660011521,AlexEvgrashin,
490,715997254901960707,CoralClouds16,my bed
491,4509158595,w1rhu,
492,451716160,MGonzalez069,
493,549538240,Adam_Ross13,518
494,993155289036869634,Bouanga41654544,Senegal
495,770037757192368128,RowthornFinn,"Fleet, England"
496,993154728895725568,lhamatashi,
497,872446711,_EmmyKitty_,Devant à droite
498,3572086100,rizzagora,"Tacloban City, Eastern Visayas"
499,4865100969,HassanBaghdadi_,Egypt
500,2592429474,horriblyViolet,"Hawthorne, CA"
501,197780562,wizhalbalaji9,"Saibaba Colony, Coimbatore"
502,974408141642268673,HackerFox4,"Cape Breton, Nova Scotia"
503,993155360419733504,NikkySujath,Sri Lanka
504,860684007624888322,guyrolulet,"Winterthur, Switzerland"
505,980475889334063105,emilyvvilliams,
506,311669622,s_rtsch,Deutschland und die ganze Welt
507,993151653409894401,RightHumanoid,
508,993152309688487938,breish242,
509,433653930,CHurt34,
510,993154350213140480,CrispCiaran,"Lincoln, England"
511,788028768711499776,danheart84,
512,1611798396,bosnjakajdin,
513,1157479483,DaSushiAsian,"Wales, United Kingdom"
514,2214869192,M_S_Crypto,Tandil
515,993144708242305024,sadboi152,"Milan, Lombardy"
516,817152300250701824,GhostofBigSmoke,Hill Valley
517,1385129358,ttorwal,
518,1202111035,briana10101,Where you're not. 
519,399222476,brookestand,Cal Poly SLO alum
520,3729575657,ronaldmelaraf,
521,861641161873772545,_HammerFaust_,
522,1006873550,IsaGIsis,
523,261806793,avz79,
524,2751736619,WestloWolf,
525,855794157880619009,OscarBrine,
526,2191652575,exclamatory117,"California, USA"
527,993154051163459587,William10444644,
528,993154478600749059,Gabriel87072960,Česká republika
529,993154085816881152,Mugishayannick6,
530,2448639789,travis_crane9,
531,56227022,JessieJDG,"Orlando, Florida"
532,988251220786778112,AJRiley20,"Alabama, USA"
533,931649207081062400,Douglasvargasg,"Industrial, Contagem"
534,3228888869,magikmike_29,"Proctor, MN"
535,824977916320677888,max_sanderlin,"Frisco, TX"
536,897292762961268740,Nidiak77,
537,986634958189056002,kamran_danial,
538,2405662613,fawzisf,Lebanon
539,3108691143,ErrorZer0,
540,243480872,nickrandall5,Gotham city
541,725869654367997952,ScruffyRonin, 
542,993151522862260225,skigen804,
543,817184925849964545,oHades_,"Bolorado, USA"
544,990484863567482880,mamadou76856540,Côte d'Ivoire
545,2588617344,AliBruin,"Los Angeles, CA"
546,991801927619960832,djdead4u,ANAHEIM - Los Angeles
547,130828276,shankspi,"Hyderabad, India"
548,432403183,LordScott_II,Harare
549,993154691662934024,NichoGabriel1,
550,993152668884488193,zdnqgmgsv1652,
551,137484666,avcihunter,
552,993155007238361088,3RaPkGXvrjQLkOb,
553,14681948,npatta01,"New York, NY"
554,287198719,DougSmall1,"Columbus, Ohio"
555,754667553578967040,Jahannamu,¯\_(ツ)_/¯ 
556,993154099666391040,StabilityTeboho,"Harrismith, South Africa"
557,300804380,1WhiteDolemite,
558,993154706888421376,sonicfanolekzgl,
559,1708535215,zubtaology,trapistan
560,83609440,Knowvaa,"South Africa, Bloemfontein"
561,18551499,RichardBagshaw,Nottingham - London
562,842874547091247105,George17939398,
563,993154560108695552,mohamadou_konta,
564,1263340327,mtoll_,"Omaha, NE"
565,966577211535970306,jessanblackie,
566,993154955220606976,KeslosG,
567,992288223039668226,King_MBZ,"Anaheim, CA"
568,2264466078,thiawa27,
569,767270526947500032,hannahjiverson,
570,937802158082265088,ElJankovska,"Prague, Czech Republic"
571,993153892337598464,Trnvnlim8,
572,993154839583576064,Lauty38992128,
573,950383071232176128,MesojedecMatej,
574,921231531019870209,Rahman16043332,
575,993153203423166465,Venusg24507691,
576,987175507551633408,1975janiie,"California, USA"
577,993151748733915136,Brandon58481121,
578,760006268723552256,Antonio76781058,"Loir-et-Cher, Centre"
579,971975060834537472,johannes_dt,
580,389806003,CopyrightRoven,
581,845409121339936768,S_A_C_V,Not USA
582,993152697154011136,HayalveG,Türkiye
583,719553468,Nick_Blennert,
584,965913911529824256,kellysky__,
585,740618189336367104,kelly_emc,"Chicago, IL"
586,702621276850905088,tafnelopez,
587,993016983598895104,jackbry27638437,"Islip, NY"
588,148871975,jlcaceresp,Madrid
589,2749378849,usagold009,northnrook illinios
590,746808788724899840,LurkeyLurks,"Venlo, Nederland"
591,952954290875740160,CouncilElders,
592,2761153646,mkearn6,
593,975056676628787200,bitchlasagna24,"Hawaii, USA"
594,2282351520,KOYUKICA,
595,1306044042,NoobAlexO_O,Portugal
596,993154387697717248,PapiMadieyna,
597,2345749985,UsLonDonGh,"Accra, Ghana"
598,946542058839465990,cronenberg16,
599,873563479009046529,amytuckerhayden,"Victoria, TX"
600,606604569,AlexandraMeade,Washington DC
601,620954148,TheEdwardSy,Philippines
602,243994218,DespoTwit,
603,2883269499,whutsiderx,
604,2749853878,IkeGRk,Urf.
605,874008200122597377,emily_huegler,
606,2308107085,Reptiiliharry,
607,845678594252771332,TonyandRosie13,"London, England"
608,990543470883303424,PdKendar,
609,781215806646579200,Alex_ZeroX666,
610,61362885,tonymaddin,"Dayton, Ohio"
611,961030411571867648,KathrynNorthorp,
612,142510388,monah03,
613,993153788864167945,AishAisaKhan,
614,363311033,alex_gentle,
615,774009839152406532,EyzeeJ,Canada Eh!
616,907234266,Nasmarr,United States
617,178946287,Yukatek01,Mérida Yucatán
618,302530864,fermigomez13,Barcelona
619,993148227263303682,gabo_ele,Georgia
620,993154461517443073,NatachaLeBrun2,
621,993154593105235969,linh_tf,Việt Nam
622,993153354967670788,Dave71929455,"Davao City, Davao Region"
623,985870426592169984,melaniepeters66,
624,893607135518609408,tontonbiskott,
625,366767258,TheRustedEarth,
626,993152308497154048,digna115pettyc1,
627,1591011200,Alpaco99,Hampshire UK
628,14715501,threeboy,Canada
629,883516990404603908,MaddRogg_,"Indianapolis, IN"
630,60769365,Neon_RyCon,"Maumee, OH"
631,514563494,CanTheHandyMan,"Uckfield, England"
632,3190140433,maddskeo,outer space
633,951541807,IrnoKola,
634,993154592635473920,JavierGlez014,
635,430141735,AlexxGay,"Dothan, AL"
636,754316787072831488,Khalid44933883,Qatar
637,4844050066,guerinfavreau,
638,982411943213457408,LibbySportsBOS,"Boston, MA"
639,993154156490768384,qWsDyCmfVzav0ak,"บางกะปิ, ประเทศไทย"
640,860035404854054912,dkeai1234,
641,746181389595312129,meltingflower,
642,365642019,HarryBo040,Hamburg
643,757426254232576000,AYKUTTURKMEN05,Türkiye
644,53994744,hynamka,
645,987691675735781376,m_tikhanovskaya,
646,17584454,br4tty,Canada
647,3810803895,mason_0298,Hell
648,977560756454547457,Gautham38628921,Kolathur
649,955145956474814464,somefilthyweebs,
650,614480211,zehramelin,Cyprus
651,993134521787801600,WaltherHerrer10,Quito Pichincha
652,28646789,jelinske,NBO JHB CHI NYC
653,620234054,ahmed_benjemaa,
654,942788774110511104,J0nnyTst,
655,422816028,dannydickson34,
656,1474853108,dickinson_marc,
657,2357999330,LennartPiepers,
658,822035870,paryorker85,"Montpellier, France"
659,111700817,Anthony_AMK,
660,283170328,bridgit333,"California, USA"
661,752295960374542338,NWebber99,
662,993153761026756608,EduBrPa,
663,388303870,gilanestan,Middle-earth
664,993154110252896257,Humbert83355834,
665,993153207437283328,marco_t3,
666,993017514828468224,EnzoRybn,
667,597462458,TravisJackowski,"New York, NY"
668,67257319,evelinelemke,Sinzig (Rheinland-Pfalz)
669,2766493443,KatyTXcougar,
670,992205082753142785,mediawatcher13,
671,935367307991195649,_manjuv_,"Kerala, India"
672,612134587,Carlos_drummer1,
673,957683808282857472,Mouhmed34853202,
674,251532360,anas_alsadaka,syria
675,2840043605,LarssonVilliam,
676,993153955285872645,MacTepJP,
677,1335094298,jcrozuoff,Mi casa
678,993153700377001984,Anton04moha,
679,987126512531968001,TurkizKardas,"Istanbul, Turkey"
680,238392129,MegATC09,
681,56070476,Dziubdzius,United Kingdom
682,76744116,lizzard_anne,dying in my bed
683,993153446541971457,dymaikel,
684,446540358,DDaleyLFC,Liverpool
685,3315746214,unfuccwiittable,Up There
686,389939446,MasonFurlong,"Portland, Oregon"
687,391710670,Bamidali,
688,993154170755670018,TianaFogle,
689,938368246016823297,misuracaf10,United States
690,993151030161498112,pqdauauvlyhjrw1,
691,812674666561228800,FlipsideSouth,
692,351508774,anudeepreddy160,"Texas, USA"
693,993153040613040128,Slimane72617148,
694,949248487186612225,dinopoppe,
695,2496011710,chaley_1979,"Pennsylvania, USA"
696,337788847,zofte,🍒🍒
697,952495738252091393,Kryptoplus_DE,Deutschland
698,993154166913564673,MasonSwift4,
